id;nome;descricao;pontos_custo;tipo;efeito;pre_requisitos;categoria
1;AMBIDESTRIA;Habilidade com ambas as mãos;5;FISICO;Sem penalidade por usar mão inábil;AGI 13+;COMBATE
2;ATAQUE_PODEROSO;Sacrifica precisão por dano;3;FISICO;-2 ataque - +4 dano;FOR 13+;COMBATE
3;DEFESA_APRIMORADA;Reflexos defensivos melhores;4;FISICO;+2 na Defesa;AGI 13+;COMBATE
4;TIRO_CERTEIRO;Precisão aprimorada com projéteis;3;FISICO;+2 em ataques à distância;AGI 15+;COMBATE
5;RESISTENCIA_MAGICA;Resistência natural à magia;8;MISTICO;+4 contra feitiços;CON 13+;DEFESA
6;MEMORIA_EIDÉTICA;Memória perfeita;6;MENTAL;Lembra de tudo perfeitamente;INT 15+;UTILITARIO
7;CARISMA_NATURAL;Presença marcante;5;SOCIAL;+2 em testes sociais;CAR 13+;SOCIAL
8;ATLETISMO_SUPERIOR;Capacidade física excepcional;4;FISICO;+2 em testes de atletismo;FOR 13+;UTILITARIO
9;FURTIVIDADE_NATURAL;Movimento silencioso nato;4;FISICO;+2 em testes de furtividade;AGI 13+;UTILITARIO
10;EMPATIA_ANIMAL;Conexão com animais;3;MISTICO;Comunicação básica com animais;CAR 11+;UTILITARIO
11;REGENERACAO_RAPIDA;Cura acelerada;10;FISICO;Regenera 1 PV por hora;CON 15+;DEFESA
12;VISAO_NOTURNA;Enxerga no escuro;4;FISICO;Visão normal em escuridão;nenhum;UTILITARIO
13;CONCENTRACAO_ABSOLUTA;Foco inabalável;6;MENTAL;Imune a distrações;INT 13+;MISTICO
14;REFLEXOS_FELINOS;Reflexos sobrenaturais;7;FISICO;+3 em Iniciativa;AGI 15+;COMBATE
15;PRESENCA_INTIMIDANTE;Aura ameaçadora;5;SOCIAL;+3 em intimidação;CAR 13+;SOCIAL
