id;nome_personagem;user_id;background;origem_id;linhagem_id;experiencia;habilidade_assinatura;nivel_sorte;tamanho;created_at;updated_at;version;is_active
1001;Thorin Pedra de Ferro;1004;Um anão guerreiro que deixou as montanhas em busca de aventuras e tesouros perdidos. Especialista em combate corpo a corpo e forjaria.;2;2;1500;1;2;MEDIO;2025-01-10 10:00:00;2025-01-10 10:00:00;1001;TRUE
1002;Elara Ventolâmina;1005;Elfa arqueira nascida nas florestas antigas. Protege a natureza e caça criaturas malignas que ameaçam o equilíbrio.;6;4;2200;1;3;MEDIO;2025-01-10 11:30:00;2025-01-10 11:30:00;1001;TRUE
1003;Marcus Coração de Leão;1006;Humano paladino dedicado à justiça. Cresceu como órfão e jurou proteger os indefesos após presenciar uma grande injustiça.;17;9;1800;1;1;MEDIO;2025-01-10 14:15:00;2025-01-10 14:15:00;1001;TRUE
1004;Zara Sombraluna;1007;Halfling ladina especializada em infiltração. Cresceu nas ruas e aprendeu a sobreviver com astúcia e agilidade.;8;8;2000;1;4;PEQUENO;2025-01-10 16:45:00;2025-01-10 16:45:00;1001;TRUE
1005;Gandrel Barbabranca;1008;Anão clérigo venerável que serve como curandeiro e conselheiro. Guardião de antigos conhecimentos divinos.;19;2;3200;1;2;MEDIO;2025-01-10 18:20:00;2025-01-10 18:20:00;1001;TRUE
1006;Lysa Tempestade;1009;Humana maga especializada em magia elemental. Busca dominar os segredos dos elementos para proteger sua aldeia natal.;13;9;1600;1;3;MEDIO;2025-01-10 20:10:00;2025-01-10 20:10:00;1001;TRUE
1007;Kael Passo Sombrio;1004;Elfo ranger solitário que patrulha as fronteiras selvagens. Rastreador experiente e protetor dos viajantes.;6;4;2400;1;2;MEDIO;2025-01-11 09:30:00;2025-01-11 09:30:00;1001;TRUE
1008;Brina Martelo Trovão;1005;Anã bárbara com temperamento explosivo. Luta para honrar seus ancestrais e recuperar relíquias familiares perdidas.;5;2;1900;1;3;MEDIO;2025-01-11 13:45:00;2025-01-11 13:45:00;1001;TRUE
1009;Finn Dedos Ágeis;1006;Humano bardo viajante que coleta histórias e lendas. Seu carisma e música abrem portas onde a força falharia.;3;9;1700;1;4;MEDIO;2025-01-11 15:20:00;2025-01-11 15:20:00;1001;TRUE
1010;Nara Fogo Selvagem;1007;Gnoma druida conectada profundamente com a natureza. Pode assumir formas animais e comunicar-se com criaturas selvagens.;14;7;2100;1;2;PEQUENO;2025-01-11 17:30:00;2025-01-11 17:30:00;1001;TRUE
1011;Viktor Lâmina Sombria;1008;Humano warlock que fez um pacto com uma entidade sombria em troca de poder. Luta contra sua própria natureza maligna.;12;9;2300;1;1;MEDIO;2025-01-11 19:15:00;2025-01-11 19:15:00;1001;TRUE
1012;Aria Canto do Vento;1009;Elfa feiticeira com poderes inatos sobre o ar e som. Descendente de uma linhagem mágica antiga e poderosa.;13;4;1850;1;3;MEDIO;2025-01-12 10:45:00;2025-01-12 10:45:00;1001;TRUE
1013;Gorin Escudo de Ferro;1004;Anão tank especializado em defesa. Protege seus companheiros como uma muralha viva, nunca recuando de uma luta.;20;2;2600;1;2;MEDIO;2025-01-12 14:20:00;2025-01-12 14:20:00;1001;TRUE
1014;Whisper;1005;Halfling assassina misteriosa que trabalha nas sombras. Sua verdadeira identidade é desconhecida, assim como seus motivos.;8;8;2800;1;4;PEQUENO;2025-01-12 16:10:00;2025-01-12 16:10:00;1001;TRUE
1015;Aldric Forjaferro;1006;Humano artífice inventor criativo. Constrói engenhocas mágicas e armas experimentais para auxiliar em aventuras.;15;9;1950;1;3;MEDIO;2025-01-12 18:35:00;2025-01-12 18:35:00;1001;TRUE
